dish_ID,dish_name,cluster
15216,好菇道菇香炒麻油菇,1
15218,酥炸排骨,4
15227,好吃又營養的法式吐司,0
15235,品靚上菜家常葱爆蝦,4
15239,品靚上菜黑木耳炒雞肉,4
15243,品靚上菜砂鍋蒸飯,3
15246,7台灣蕃薯變身日式點心之茶巾地瓜燒,0
15264,力力隨意煮白菜上海炒年糕,2
15275,品靚上菜排骨玉米湯,1
15279,我的手作料理芋香椒鹽丁香,4
15281,品靚上菜窮人的燕窩銀耳,3
15283,酪梨蕃茄蝦沙拉,1
15287,力力隨意煮木須肉,4
15288,我的手作料理韓式麻婆豆腐,4
15290,下酒好菜油爆蝦,1
15293,阿妮塔聖誕節的薑餅家族,0
15295,提姆士食譜百元快炒蔥爆羊肉,4
15296,吳双の愛妻便當貓咪咖哩,2
15297,紅燒蝦,4
15310,愛蜜莉廚房紅燒蓮藕鮮肉丸,4
15311,愛蜜莉廚房上海菜肉餛飩,1
15315,義式番茄馬芝瑞拉起司沙拉,1
15334,開胃茄汁秋刀魚,2
15335,電鍋香蕉糕,0
15350,最單純的美味古早味滷肉飯,3
15353,吳双の愛妻便當義大利肉醬麵,2
15364,品靚上菜塔香茄子,4
15367,辛香滑溜的咖哩烏龍麵,2
15377,焦糖布丁,0
15378,力力隨意煮自製高粱鹹豬肉,1
15383,力力隨意煮胡瓜封大黃瓜釀肉,4
15399,我的手作料理聖誕水果麵包,0
15420,妮小娜隨性煮和風昆布紫蘇梅雞,1
15425,我的手作料理九層塔蛋餅,0
15454,山東菜熬芸豆糊餅子,3
15459,剝皮辣椒雞湯,1
15461,我的手作料理白菜羹,4
15483,ㄚ曼達的廚房簡易丹麥甜甜圈,3
15490,傳統義大利聖誔麵包,0
15492,下酒菜米酒清炒蛤蠣,4
15500,ㄚ曼達的廚房香蕉蛋糕,0
15503,蒜頭香菇雞湯,1
15504,蕃茄燴牛肉,2
15507,九層塔炒蛤礪,2
15510,妮小娜隨性煮日式漢堡排,1
15514,芝司樂蔥餅捲和馬鈴薯泥,0
15525,芽菜炒豆皮,2
15527,魚卵干貝燒,3
15531,香蔥油豆腐皮味噌湯,3
15536,涼拌豆乾,4
15546,ㄚ曼達的廚房土鳳梨酥,0
15550,ㄚ曼達的廚房甜甜圈雞蛋糕,0
15552,甜滋滋克林姆手作麵包,0
15560,品靚上菜薑燒杏鮑菇,1
15561,焗烤酥皮鮭魚捲,2
15576,衝菜,1
15583,蟹肉炒蛋,4
15586,力力隨意煮羊肉爐沾醬,3
15594,南瓜濃湯,1
15598,品靚上菜心太軟,3
15599,東煮紅椒炒德式香腸,4
15609,便當的菜色,3
15612,棒棒糖蛋糕聖誕節版,3
15629,品靚上菜溫拌雪花牛,2
15633,梅香涼拌豆腐,4
15634,超省時香蒜厚片,1
15635,彩椒蒟蒻,2
15636,三柸肥腸,1
15640,宛の年菜好食光鮮蝦鑲蘆筍,2
15642,五分鐘搞定烏冬拌麵,4
15643,宛の美好食光馬鈴薯燉牛肉,4
15644,宛の美好食光紫蘇梅雞翅,1
15650,宛の美好食光金沙杏鮑菇,4
15654,宛の美好食光左宗棠雞,4
15667,我的手作料理蘿蔔燒小排,2
15673,力力洋食我的聖誕烤雞,4
15681,椒鹽檸檬蝦,3
15682,ﾟの芋圓地瓜圓ﾟﾟ,4
15683,厚生廚房菜豆飯,2
15696,我的手作料理泰式打拋肉,2
15698,熱的好吃の水果甜點檸檬香橙塔,0
15705,魔力超簡易蔥蛋餅,0
15706,魔力好吃到不行的羊肉爐,1
15712,ㄚ曼達的廚房巧克力豆餅乾,0
15715,蔬菜牛肉湯,2
15731,ㄚ曼達的廚房濃情巧克力鍋,3
15733,吮指趴踢菜孜然蒜香煎翅腿,1
15740,我的手作料理蟹肉豆腐煲,4
15747,七小龍發糕,0
15759,聖誕樹麵包,0
15768,魚卵辣椒花枝丸,3
15771,品靚上菜豆瓣豆腐魚豆腐豆瓣魚,3
15777,便當跨年煙火雞米花便當,1
15782,團團圓圓吃湯圓,3
15783,厚生廚房大黃瓜鑲肉,4
15789,有心食譜咖哩漢堡排,2
15796,起士茄子鑲肉,1
15797,長野家蒜香雞排,3
15798,ㄚ曼達的廚房鳳梨蘋果醬,3
15804,長野家朝食月見粥,3
15810,厚生廚房白菜魯,1
15813,長野家泡菜雞柳炒烏龍,3
15816,厚生廚房南瓜雞湯,1
15818,沙茶炒冬粉,2
15833,長野家迷迭香雞烏龍麵,3
15842,ㄚ曼達的廚房蘑菇雞腿,2
15848,香煎糯米椒青辣椒,3
15864,薄片小黃瓜沙拉佐東方風醬汁,1
15876,ㄚ曼達的廚房甜蜜焗烤飯,1
15877,椒鹽松阪豬,4
15881,厚生廚房法式炒雙菇,1
15886,提姆士食譜奶油南瓜濃湯,2
15904,吳双の愛妻小菜辣椒魚卵拌牛肉,3
15917,有心食譜薑爆鴨腿拌時蔬,1
15920,ㄚ曼達的廚房愛心飯團,1
15927,厚生廚房甜豆香菇炒花枝,1
15939,筊白筍炒毛豆,1
15950,力力隨意煮客家蘿蔔封蘿蔔燒肉,2
15958,宛の美好食光魚卵辣椒高麗菜歐姆列茲,1
15964,宛の美好食光總匯蛋披薩魚卵辣椒,4
15968,厚生廚房芋頭燒雞,4
15974,桓仔の便當盒小熊戴毛線帽,2
15990,宛の美好食光沙茶醬爆蝦仁,4
16003,我的手作料理辣炒馬鈴薯雞,4
16006,牛小排起司蘆筍捲,1
16015,有心食譜羅宋燉排骨,2
16021,宛の美好食光雞蛋豆腐佐魚卵辣椒,3
16023,宛の美好食光北菇蒸雞,4
16026,厚生廚房南瓜軟餅,1
16028,宛の美好食光檸檬椒鹽松阪豬,1
16067,厚生廚房魚香茄子,2
16068,厚生廚房馬鈴薯燉肉排,4
16079,蔥燒雞腿肉,3
16093,魚卵辣椒鑲豆腐,3
16096,蕃茄肉醬海鮮義大利麵,2
16104,自製鹹豬肉,1
16110,極簡幸福司康,0
16112,味噌糙米粥,3
16124,宛の美好食光和風燉蘿蔔,1
16129,厚生廚房青蔥蒜蝦,4
16131,醬炒米血,4
16134,厚生廚房干煸四季豆,3
16140,ㄚ曼達的廚房日式炸雞翅氣炸鍋,3
16147,品靚上菜三杯雞香菜篇,2
16149,百香蘋果醬,3
16158,奶油培根蘑菇蘆筍義大利麵,2
16162,厚生廚房筊白筍炒肉絲,4
16187,宛の年菜好食光百花鑲豆腐,4
16188,厚生廚房雞肉洋菇燉飯,1
16193,蕃茄肉醬義大利麵,1
16195,我的手作料理金沙獅子頭,4
16200,奶酥麵包奶酥醬波蘿麵包的內餡,0
16206,義式披薩,0
16212,厚生廚房蘆筍炒雞肉,4
16217,深夜食堂酒蒸蛤蜊あさりの酒蒸し,4
16222,我的手作料理生炒雞鬆,2
16225,ㄚ曼達的廚房微笑巧克力餅乾蛋糕抹茶紅豆蛋糕,0
16231,法式鹹派,1
16235,厚生廚房紅燒苦瓜排骨,2
16239,厚生廚房韭菜花炒肉絲,1
16243,我的手作料理布里歐吐司,0
16248,圍爐火鍋水餃萬用沾醬,3
16249,魚卵涮醬蛋餅,3
16252,愛蜜莉廚房金棗桔蜜餞,3
16255,毛卡亂煮青醬,1
16262,魔力年菜系列6白菜釀豆腐,2
16265,三角飯糰便當,3
16266,夏日雞肉便當,3
16267,毛卡亂煮青醬海鮮義大利麵,1
16270,果乾杯子鬆糕,0
16273,黑麻醬燒肉,3
16277,櫛瓜炒肉絲,2
16282,蟹殼黃,0
16291,香煎土司,0
16316,軟綿綿巧克力戚風蛋糕8吋,0
16317,宛の年菜好食光團團圓圓杏鮑菇蒸肉丸,2
16320,厚生廚房肉醬苦瓜,1
16321,厚生廚房香菇燴絲瓜,4
16324,黃金起司歐姆蛋,1
16327,法式土司,3
16331,我的手作料理蜜汁炭烤豬肋排,4
16332,有心食譜黑胡椒後腿肉絲,2
16345,厚生廚房茭白筍鮮菇燴雞丁,4
16346,厚生廚房木耳彩椒炒肉絲,4
16348,輕鬆做台灣美味米糕,3
16350,毛卡亂煮西班牙蛋餅,4
16352,宛の美好食光鳳梨蝦球,3
16353,厚生廚房香菇蘿蔔雞湯,1
16357,厚生廚房清蒸檸檬魚,1
16364,新鮮口感法版臘味蘿蔔糕,1
16366,厚生廚房檸檬茄汁魚,2
16372,三步驟搞定純素蘿蔔糕,1
16374,糖霜核桃,3
16376,大同電鍋搞定蘿蔔糕葷食,1
16382,宛の年菜好食光迎春醉蝦,1
16395,香煎紅豆糕,0
16409,米奇廚房甜豆蝦仁,1
16418,米奇廚房雙絲鑲中卷,2
16421,深夜食堂豚汁,4
16424,年菜系列韭黃蛋捲,4
16429,厚生廚房柚蜜猪扒,2
16430,厚生廚房芹菜炒透抽,1
16466,有心食譜香煎鴨菲力,2
16469,厚生廚房芹菜炒豆干,2
16486,宛の可愛おべんと憤怒鳥便當,2
16496,阿不廚房不用磅秤的鮮奶油比司吉,0
16497,桓仔の便當盒貓貓抱一個,2
16502,簡單晚餐牛肉炒菇菇燴飯,4
16506,厚生廚房蘿蔔燉肉,4
16508,厚生廚房開陽白菜,4
16528,阿妮塔巧克力舒芙蕾輕柔的魔術,0
16545,巔覆的蕃茄炒蛋,4
16556,厚生廚房茄香炸魚塊,4
16557,宛の年菜好食光當歸紹興醉雞,1
16559,幸福海物藍星斑味噌鮮魚湯,3
16565,法式傳統漬番茄,1
16571,我的手作料理海鹽洋蔥麵包,1
16575,珍珠丸子,1
16582,留學生輕鬆煮蔥爆豬柳,4
16592,青脆的花椰菜球花甘藍,1
16596,在家做好吃的雞蛋糕,0
16603,螞蟻上樹,4
16608,洋蔥甜酸小雞腿,2
16610,我的手作料理咖哩肉絲炒飯,4
16611,我的手作料理醬,1
16619,厚生廚房洋蔥番茄湯,1
16634,滴水不加的奶油紅蘿蔔,1
16636,醬炒回鍋肉,4
16641,品靚上菜照燒雞排,3
16650,厚生廚房絲瓜炒蛤蜊,2
16651,厚生廚房清炒菠菜,1
16653,宛の美好食光控肉爌肉,4
16654,宛の美好食光大黃瓜鑲肉丸湯,2
16659,西班牙烘蛋,3
16664,培根蘑菇白醬義大利麵,0
16665,蔥拌蝦仁腰果,4
16666,照燒百菇豆腐素,3
16678,厚生廚房沙茶木耳蒸里肌,4
16682,力力隨意煮香菇肉粥台式鹹粥,2
16687,微熱山丘土鳳梨酥自己在家做,0
16691,上菜_石鍋上海菜飯,1
16706,力力隨意煮炒什錦,2
16709,厚生廚房蘆筍炒肉絲,1
16720,十分鐘上菜微波爐搞定鮮蝦腸粉,3
16733,有心食譜芥末子鳳腿,2
16737,力力隨意煮燒椒皮蛋,3
16746,厚生廚房馬鈴薯烘蛋,4
16747,厚生廚房翠瓜蠔油鮮菇,4
16748,厚生廚房南瓜鮮菇蒸雞,4
16749,宛の美好食光黃金香腸菇菇蛋炒飯,4
16753,學到賺到薑絲超人,0
16755,超簡單玉米濃湯,0
16757,珍珠丸子,4
16761,山藥蔓越莓酥,3
16765,鳳梨梅子酥,0
16769,旗魚甜不辣,3
16772,咖哩雞腿拌麵,2
16780,ﾟ日式家常料理の南瓜沙拉ﾟﾟ,4
16785,超簡易韭菜蛋餅,0
16788,é法式海綿小餅,0
16789,親子甜點戀戀草莓蜜糖吐司,3
16793,炒鹽漬白蘿蔔絲,4
16804,阿妮塔雞肉鮮菇義式燉飯,1
16806,厚生廚房薑絲蛤蜊湯,4
16811,新手的杏鮑菇高麗菜炒肉絲,1
16835,栗子烧排骨,4
16846,草莓果醬,3
16851,親食甜美高麗菜濃湯,2
16855,品靚上菜我的迷迭香烤雞,1
16865,食相海鮮炒米粉,2
16868,厚生廚房香菇炒時蔬,1
16869,食相麻油雞,1
16881,我的手作料理咖哩牛肉,2
16889,7食亞佛列多寬麵,0
16897,杯子戚風蛋糕鮮奶油餡,0
16898,格紋肉桂蘋果派,0
16900,厚生廚房培根高麗菜,1
16903,情人節晚餐心心相印咖哩豬排飯,4
16908,力力隨意煮奶油蘑菇牛排蛋炒飯,4
16916,宛の美好食光南瓜燉雞,2
16921,宛の美好食光金瓜米粉,4
16923,宛の美好食光日式和風南瓜燒,1
16925,宛の美好食光趴哩趴哩麵線海苔披薩,0
16927,蜜地瓜,3
16931,圓頂奶油吐司12兩2條,0
16935,辣香腸菠菜烤馬鈴薯,4
16937,南瓜巧克力瑪芬,0
16938,栗子燒雞,3
16940,傑米奧利佛的摩洛哥醃檸檬,3
16942,一鍋到底之香菇雞燉飯鑄鐵鍋料理,1
16952,地瓜饅頭,0
16986,我的手作料理三杯三味,2
16992,孩提的滋味麥仔煎,0
17001,雙菜便當照燒醬煎百頁豆腐燴煮白蘿蔔,1
17012,五彩繽紛檸檬塔,0
17016,清炒絲瓜,1
17018,焦糖紅燒肉,1
17022,椒鹽蝦,4
17024,海苔香脆棒,0
17026,厚生廚房菠菜炒金針菇,1
17027,厚生廚房鳳梨燴雞丁,2
17040,我的手作料理麻婆馬鈴薯,4
17046,蒸雞蛋布丁,0
17048,厚生廚房番茄炒肉片,2
17053,宛の美好食光腐乳高麗菜,1
17058,宛の美好食光香菇雞湯,1
17059,宛の美好食光蘋果佐黃瓜蒜泥白肉,1
17068,ㄚ曼達的廚房冰糖梨子,3
17080,綠咖哩雞,1
17081,芝司樂起司小西餅,0
17082,雞蛋糕,0
17096,ㄚ曼達的廚房麵包布丁,0
17099,ㄚ曼達的廚房土司沙拉,1
17103,清爽春夏菜餚百年老店梅子輕炒白苦瓜,1
17106,莎拉葉健康清蒸鱈魚,4
17110,炸肥腸,3
17112,雞蛋豆腐,3
17114,厚生廚房南瓜濃湯,1
17115,家傳炒豆腐皮,3
17123,妮小娜隨性煮雞球玉米豆腐燴飯,4
17128,義式風味蕃茄炒蛋,2
17130,甘梅地瓜,3
17131,ㄚ曼達的廚房日式煎餅四種口味,0
17134,蔥花卷,0
17146,ﾟ留學生食譜の英式早餐ﾟﾟ,4
17148,紹興紅燒肉,4
17155,檸檬馬德蓮,0
17158,宛の美好食光迷迭香檸檬烤鮭魚,1
17177,南法蔬菜燉,2
17192,水媽咪料理日式豬排丼,1
17193,水媽咪料理干燒蝦仁,4
17194,水媽咪料理蔥燒排骨,3
17195,水媽咪料理白菜滷,4
17199,ㄚ曼達的廚房煎餃,1
17203,水媽咪料理高麗菜飯,1
17209,日式烤雞肉串自己做,1
17213,慢燉白酒牛肉,2
17215,的蒜香紅酒菲力,1
17218,超簡單的薄脆鹹餅乾,3
17228,蘑菇蛋捲,1
17231,烤棉花糖貝果,3
17232,壽喜燒蓋飯,4
17236,豬肉鹹派,0
17239,ㄚ曼達的廚房媽媽泡芙,0
17241,蒜頭雞湯,2
17242,ㄚ曼達的廚房烤沙朗牛肉片,3
17246,油燜苦瓜香菇,1
17251,綿綿的棉花糖草莓慕斯,0
17259,厚生廚房乾煎魚片,3
17261,厚生廚房地瓜球,4
17269,香菇栗子雞湯,3
17274,我的手作料理芋頭牛肉粒,4
17276,蜜芋頭,3
17277,鮮肉餛飩,3
17291,薑燒豬肉,1
17292,力力隨意煮大白菜炒蛋,1
17298,厚生廚房番茄炒馬鈴薯,2
17301,讓老公孩子天天撲碗ㄉ野菇蒟蒻炊飯,4
17306,我的手作料理鹹蛋南瓜,4
17307,小黃瓜炒蛋,1
17311,力力隨意煮上海菜飯電鍋版,2
17314,豬排井飯,1
17324,宛の涼夏好食光涼拌南瓜,1
17325,香菇雞湯,3
17327,馬鈴薯燉肉南瓜濃湯,4
17344,香腸無油新煮法,3
17351,烤雞腿之蕃茄蛋包飯,4
17357,ㄚ曼達的廚房珍珠丸子,3
17368,餛飩,1
17374,泰式紅咖哩雞翅,2
17375,厚生廚房蕃茄炒雞絲,4
17384,電鍋三色蛋,3
17388,梅子燒雞,3
17389,雙筍燴蝦仁,1
17398,芫荽皮蛋魚片湯,1
17399,鮮甜鱸魚湯,1
17400,宛の烘培好食光波士頓蛋糕,0
17402,筑前煮素,1
17403,薑煮紅糖蛋,1
17404,梅醃番茄,1
17406,宛の烘培好食光蜜香蘋果蛋糕,0
17409,宛の烘培好食光果醬奶酥餅乾,0
17428,ㄚ曼達的廚房白菜麵疙瘩,4
17429,ㄚ曼達的廚房楊氏滷肉,4
17441,ㄚ曼達的廚房鹹蛋苦瓜,1
17442,ㄚ曼達的廚房玉米火腿麵包,0
17443,ㄚ曼達的廚房甜薯湯,3
17444,超簡單愛心便當麻婆馬鈴薯花椰菜,4
17445,五分鐘草莓酥皮派,3
17446,ㄚ曼達的廚房三腳貓豬肉餡餅,1
17453,芙卡夏麵包,0
17454,蒲燒鰻魚蛋捲,4
17463,巧克力豆餅乾,0
17465,我的手作料理草莓果醬,3
17466,蔓越莓麵包布丁,0
17476,ㄚ曼達的廚房地瓜粥,3
17478,凱莉貓幸福愛妻便當,4
17480,蔬菜番茄醬汁煮蛋包,2
17482,宛の美好食光咖哩烏龍麵,3
17486,厚生廚房九層塔炒文蛤,4
17492,ㄚ曼達的廚房簡易司康,0
17495,乳酪鮮奶油馬鈴薯盅,0
17506,小孩的最愛鮮奶涼糕,0
17507,杯子戚風蛋糕清蛋糕版,0
17523,ㄚ曼達的廚房香蕉麵包,0
17524,宛の年菜好食光紹興東坡肉,2
17533,菲個人煮義和風蘿蔔香菇煮,1
17535,蟹肉白菜蓋飯,1
17540,菲個人煮義蔬菜炒餅,2
17541,菲個人煮義砂糖小甜餅,0
17547,香菜蒜泥烤雞,1
17552,泰式檸檬清蒸魚,2
17556,香菇麵筋,3
17562,水媽咪料理脆瓜碎肉便當菜,3
17565,ㄚ曼達的廚房烤地瓜氣炸鍋,3
17567,蕃茄蛋花湯,4
17572,米奇廚房菠菜雞肉卷,1
17573,黑胡椒醬蘑菇醬炒洋蔥肉絲豆芽菜,2
17575,蘆筍木耳肉絲炒,1
17579,黑木耳韭菜蛋炒,1
17585,炸雞腿排,3
17587,單身貴族芹菜炒肉絲,1
17589,酥炸豆包,1
17596,乾燒蝦球,4
17598,雞腿鮮蝦西班牙燉飯,2
17601,紅燒豆包全素可,1
17604,留學生食譜大不列顛的台灣味鹽酥雞,4
17610,凱莉貓幸福便當奶油海鮮燉飯,3
17611,厚生廚房豆酥高麗菜,4
17614,ﾟの高粱醉蝦ﾟﾟ,3
17615,ㄚ曼達的廚房蘋果牛奶土司,0
17616,力力隨意煮排骨酥湯含排骨酥做法,4
17617,蒜香紅椒孜然烤翅,1
17619,芋頭燒雞腿,4
17621,豬肉捲,0
17624,窩在家之蒜味馬鈴薯,4
17627,無敵好用滷一鍋肉,4
17628,不甜膩巧克力片,3
17631,韓式辣炒豬肉,4
17634,簡易版海南雞腿飯,4
17640,米奇廚房奶油金針菇,3
17647,愛蜜莉廚房大黃瓜鑲肉,4
17658,甜蜜情人果芒果青,3
17660,無油的健康茄子料理,3
17664,厚生廚房龍鬚金銀蛋,4
17666,養生地瓜甜品,3
17679,蛋炒高麗菜,1
17686,鮮蝦奶油燉飯,3
17696,日式牛肉咖哩,2
